Compound,m.z,method,high.confidence.annotation,compound.name,hmdb,kegg,inchikey,fingerprints
C8p_QI176__C52:3 TAG,879.7408,C8-pos,False,"TG(16:0/18:1(9Z)/18:2(9Z,12Z))",HMDB0005384,C00422,,
HILp_TF9__2-deoxyadenosine,252.1096,HILIC-pos,True,Deoxyadenosine,HMDB0000101,C00559,OLXZPDWKRNYJJZ-RRKCRQDMSA-N,11000000011100111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100010010000000000000000000000001011000000000000000000000000000000000000000000000000000000000001011000000000011111100000000000000000000001111000000000000100000000100000000000000000000000100000011100111000011001011100000110000001011111000010111111010011000001011000000000101000000000000100000110011000010110010000000000100000001000000000101101000100010001000010100000000000010101000000100000001010000101010000010000100000010101100000000010010000001100100001000000000111100100010000001000000011110000000000000010110000110000000000100000101100000011000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_QI1929__4-hydroxy-3-methylacetophenone,151.0757,HILIC-pos,True,4-Hydroxy-3-methylacetophenone,HMDB0059824,,,
C8p_QI213__5alpha-cholestan-3beta-ol,371.3671,C8-pos,True,,,,,
HILp_QI8763__sphinganine,302.3059,HILIC-pos,True,Sphinganine,HMDB0000269,C00836,OTKJDMGTUTTYMP-ZWKOTPCHSA-N,11110000011110100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000111100111000011000000000000110000000100000000000000000010000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000100001000000000010000000001000000000000000000000000100000000000000000001010001000000000000000000000000000000000001100100001100000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_TF57__tyrosine,182.0816,HILIC-pos,False,L-Tyrosine,HMDB0000158,C00082,OUYCCCASQSFEME-QMMMGPOBSA-N,11000000011100100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001111000000000000100000000100000000000000000000000110000101100110000011001100000000100001100000000111010000000010000000000001000000000100010000000001000100000110100100000100000000000000000100000000000000000001000000010000000000000000010001000100010000001100001100000100010001000000010100010011000110010100000101001000100010011100000000111000000000000001001001101000000010001000010001001100000000111100110001100100010100000100011100010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI116__taurine,124.0075,HILIC-neg,False,Taurine,HMDB0000251,C00245,XOAAWQZATWQOTB-UHFFFAOYSA-N,10000000010000100011000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110000000100000100000000100000000000000000000000000000000000110001010100000000000100100000000000000000000000010000000000000010000010000000000000000000000000000000000000000001110000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_QI14421__C18:1 LPC plasmalogen,508.3772,HILIC-pos,False,LysoPC(P-18:0),HMDB0013122,C04230,,
C18n_QI48__lithocholate,375.2905,C18-neg,False,Lithocholic acid,HMDB0000761,C03990,SMEROWZSTRWXGI-HVATVPOCSA-N,11110000011110000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000001100000110000011000000000000000000000000000000000000000000000001100000110000000000000000000000000000000001101000000000000000000000100000000000000000000000111100010100101000001000000000000010000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000001100010001100100011110000100011111000000000000000000000000000000000000000000000000000000000000000110000000000000000000110000000000000000000100000000000000000000100000000000000000000100000000000000000000
C8p_QI02__C14:0 LPC,468.3081,C8-pos,False,LysoPC(14:0),HMDB0010379,C04230,,
HILn_TF12__N6-acetyllysine,187.1088,HILIC-neg,False,N6-Acetyl-L-lysine,HMDB0000206,C02727,DTERQYGMUDWYAZ-ZETCQYMHSA-N,11100000011100110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000100000100000000010110000000000001000000000000010000000000000000001100100000001100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000000000100000000000010010000000001000000000000000000001000100000000000000000001000001011000000000100000000000000000000001100110000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI42__citrate,191.02,HILIC-neg,True,Citric acid,HMDB0000094,C00158,KRKNYBCHXYNGOX-UHFFFAOYSA-N,11000000011000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000110001000100100000001000000000000000000000000000100000000000000000000000001000000000000010000000000000000000100100000000100000000010000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000010000000000010110000000000000000000000000000000000100000000000000000001010010000000000000000000010000000000000000110010110010011000000000000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI93__orotate,155.0099,HILIC-neg,True,Orotic acid,HMDB0000226,C00295,PXQPEWDEAKTCGB-UHFFFAOYSA-N,10000000011000110011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000001000100000011000000000000000000000010000100000000010110000000000001000000000100010000000000000100101110100100101100000000000100000000000000000000000000000000000001000000000000000000000100000000000100000000000000001000000100000100000010000000000000000000000000000100000000000000001000000000000000010000001010100100010000100000001000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI37__C34:2 PC plasmalogen,744.5921,C8-pos,False,PC(P-16:0/18:1(9Z)),HMDB0011210,,,
HILn_QI49__dTMP,321.0498,HILIC-neg,True,5-Thymidylic acid,HMDB0001227,C00364,GYOZYWVXFNDGLU-XLPZGREQSA-N,11000000011100110011110000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000100000000000000000110000010100111000011000000000000110000000110000000000000011110000000000011100010000100010000100001000000001010101100101000010000000100000000000000000000000000000000000000000000000000000000000000000000001000010000000000001000000100000010001000000000010000000001000000100000000000011100100000000000000000011110000011100100010000000110000000011000000101100000011000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"HILp_QI9142__N2,N2-dimethylguanosine",312.1291,HILIC-pos,True,"N2,N2-Dimethylguanosine",HMDB0004824,,,
C18n_QI08__caproate,115.0752,C18-neg,False,Caproic acid,HMDB0000535,C01585,FUZZWVXGSFPDMH-UHFFFAOYSA-N,11000000011000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000001100010000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_QI1105__N-acetyalanine,132.0655,HILIC-pos,False,N-Acetyl-L-alanine,HMDB0000766,,,
HILp_QI24373__C16:0 SM,703.5765,HILIC-pos,False,SM(d18:1/16:0),HMDB0010169,C00550,,
HILn_QI99__phenylalanine,164.0719,HILIC-neg,False,Phenyllactic acid,HMDB0000779,C01479,RKUNBYITZUJHSG-SPUOUPEWSA-N,
HILp_QI2601__7-methylguanine,166.0727,HILIC-pos,True,7-Methylguanine,HMDB0000897,C02242,FZWGECJQACGGTI-UHFFFAOYSA-N,10000000011000111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000011000000000000000000000000001111000000000000100000000000000000000000000000000100000001000000000011001011000000100000001111011000000010111110011000001000000000000101010000000000100000111011100010111010000000000100000001000000000101101000101110001000010100000000000010101000000000001101010000101010001000000100000000100100000001000010000000100100000100000000101000000000010000000000010000000000000000010010000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI108__salicylate,137.0245,HILIC-neg,False,Salicylic acid,HMDB0001895,C00805,YGSDEFSMJLZEOE-UHFFFAOYSA-N,10000000011000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000110000000100100000001001100000000000001100000000111010000000000000000000001000000000100010000000001000100000110100100000100000000000000000100000000000000000001001000010000000000000000010001000100000000001000001100000100011001000000010000010011100110110100000100001010100010010100000000111000101000000001001011110000000010001000010001001100110000111100010001100100000100000100011100000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000
HILp_QI4241__C2 carnitine,204.1236,HILIC-pos,True,L-Acetylcarnitine,HMDB0000201,C02571,RDHQFKQIGNGIED-MRVPVSSYSA-O,11100000011100100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000100000000000000000000000100000010100111000011000000000000110000000100000100000000011000000000000011000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000100000000000010100000000001000000000000000000001110100000000000000000001010010000000000000000100000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI24__adipate,145.0507,HILIC-neg,True,Adipic acid,HMDB0000448,C06104,WNLRTRBMVRJNCN-UHFFFAOYSA-N,11000000011000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000000000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000001100010000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_QI1989__acetaminophen,152.0709,HILIC-pos,True,Acetaminophen,HMDB0001859,C06804,RZVAJINKPMORJF-UHFFFAOYSA-N,11000000011100100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001111000000000000100000000100000000000000000000000100000001100100000011001000000000000001100101100011010000010110000000000001000000000100010000000000000100101010100100101000000000000100000100000000000000000001000010010001000000000000010001000100000000000000001100110110010001000000010000010011000100010110000101001000110010011100001000111000000001000011001001101010000010001110010001101100000000111101100000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI43__C38:4 PC plasmalogen,796.6206,C8-pos,False,"PC(P-18:0/20:3(8Z,11Z,14Z))",HMDB0011252,,,
HILp_TF43__ectoine,143.0818,HILIC-pos,True,,,,,
HILn_QI123__tryptophan,203.0828,HILIC-neg,False,L-Tryptophan,HMDB0000929,C00078,QIVBCDIJIAJPQS-VIFPVBQESA-N,11000000011100110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000001011000000000011111000000000000000000000001111000000000000100000000100000000000000000000000110000101000110000011001111000000100001111001100100011110010110010011001001000000000101010000000001100110100111101110100110000000000100000101000000000100000001100010000001000100000000010001101100110100001101110000110010010011000000010100010000011110010110000001001000110010001100001000110000000001000011001001001000000000000110010001100100000000111100110001101100111110010100011101000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000
C8p_QI30__C36:2 PC,786.6002,C8-pos,False,"PC(18:0/18:2(9Z,12Z))",HMDB0008039,C00157,,
C8p_QI41__C36:2 PC plasmalogen,772.6212,C8-pos,False,PC(P-18:0/18:1(9Z)),HMDB0011243,,,
C8p_QI83__NH4_C22:6 CE,714.6188,C8-pos,True,,,,,
C8p_QI126__NH4_C44:1 TAG,766.6915,C8-pos,True,,,,,
C8p_QI25__C34:1 PC,760.5847,C8-pos,False,PC(16:0/18:1(9Z)),HMDB0007972,C00157,,
C8p_QI42__C36:1 PC plasmalogen,774.6361,C8-pos,False,PC(P-18:0/18:0),HMDB0011241,,,
C8p_QI62__C24:0 SM,815.6998,C8-pos,True,SM(d18:1/24:0),HMDB0011697,,,
C8p_QI181__NH4_C52:1 TAG,878.8167,C8-pos,True,,,,,
C8p_QI108__C36:3 DAG,641.5111,C8-pos,False,"DG(18:1(9Z)/18:2(9Z,12Z)/0:0)",HMDB0007219,C00165,,
HILn_QI105__riboflavin,375.1315,HILIC-neg,True,Riboflavin,HMDB0000244,C00255,AUNGANRZJHBGPY-SCRDCRAPSA-N,11100000011110111011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000100000010000000000000000000000000000000000000000000000000000000100000010000000000000000000000000001111000000000000100000000100000000000000000000000110000011100111000011001100000000110001100111100000010000011110000000000001000000000101010000000001100100111011100100111010000000000100000100000000000000001001000010000001000000000000000011000100000000001001010000111010010001000100010110111000000101010110000001101100110010001100101000110000000001000011001111000010100100010110110011100100000000111111100001001000010000010000011101000100000000000000000000100000000000000000100000000000000100000000100000000000000000000100000000000000000100000000000000100000000000000000000000000000000000000000000000
C8p_QI80__C20:3 CE,697.589,C8-pos,False,"CE(20:3(8Z,11Z,14Z))",HMDB0006736,C02530,,
HILn_QI37__caproate,115.0765,HILIC-neg,False,Caproic acid,HMDB0000535,C01585,FUZZWVXGSFPDMH-UHFFFAOYSA-N,11000000011000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000001100010000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI56__C18:1 SM,729.5891,C8-pos,False,SM(d18:1/18:1(9Z)),HMDB0012101,C00550,,
C8p_QI183__NH4_C52:0 TAG,880.8327,C8-pos,True,,,,,
HILp_QI8646__threosphingosine,300.2903,HILIC-pos,True,,,,,
HILp_QI1127__alloisoleucine,132.1024,HILIC-pos,True,L-Alloisoleucine,HMDB0000557,,,
HILp_QI9633__linoleoyl ethanolamide,324.2904,HILIC-pos,False,Linoleoyl ethanolamide,HMDB0012252,,,
HILp_QI2994__N-acetylaspartic acid,176.0553,HILIC-pos,True,N-Acetyl-L-aspartic acid,HMDB0000812,C01042,OTCCIMWXFLJLIA-BYPYZUCNSA-N,11000000011000100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000100000100000000010110000000000001000000000000010000000000000000001100100000001100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000000000100000000000011000000000000000000000100000000001000100000000000000000001100001011000000000100100000000000000000000010000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_QI13155__C16:0 LPE,454.2938,HILIC-pos,False,LysoPE(16:0/0:0),HMDB0011503,,,
HILn_QI61__glycerate,105.0193,HILIC-neg,True,Glyceric acid,HMDB0000139,C00258,RBNPOMFGQQGHHO-UWTATZPHSA-N,10000000010000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101000001000000000000010000000000000100000000000000000000000001000000000000010000000000000000000100100000000100000000010000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000010001000000000100000000000000000000000000000000000100000000000000000000010010000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI126__uracil,111.02,HILIC-neg,True,Uracil,HMDB0000300,C00106,ISAKRJDGNUQOIC-UHFFFAOYSA-N,10000000011000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000000000000000000000000000100000000000110000011000000000000100000000010000000000000010110000000000000000000000100010000000000000100001010101100101000000000000100000000000000000000000000000000000001000000000000010000000000010000000000010000000000001000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001011100100010000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI203__C56:4 TAG,933.7877,C8-pos,False,"TG(18:0/18:0/20:4(5Z,8Z,11Z,14Z))",HMDB0005398,C00422,,
C8p_QI189__C54:5 TAG,903.7406,C8-pos,False,"TG(16:0/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0005385,C00422,,
C8p_QI72__C18:1 CE,673.5891,C8-pos,False,CE(18:1(9Z)),HMDB0000918,C14641,RJECHNNFRHZQKU-RMUVNZEASA-N,11110000011111000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000001100000110000010000000000000000000000000000000000000000000000001100000100000000000000000000000000000000001101000000000000000000000000000000000000000000000111100010100101000001000000000000010000000100000100000000000000000000000010000000000100010000000001000100000110100100000100000000000000000000000000000000000001000000000000000000000000010000000100000000001000000000000000000001000000000000000000000010010000000000000000100000000000000100000000000000000000001001100000000000000000010000000000000000011100010001100100011110000100011111000000000000000000000000000000000000000000000000000000000000000110000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000
C18n_QI65__taurocholate,514.2845,C18-neg,True,Taurocholic acid,HMDB0000036,C05122,FZLMIZAHBFKTSH-IECFWMJSSA-N,11110000011110100011110000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000001100000110000011000000000000000000000000000000000000000000000001100000110000000000000000000000000000000001111000000000000100000000100000000000000000000000111100010100111000011000000000000110000000100000000000000010110000000000001010000000000010000000000000000001000100000001000000110000000000000000000000000000000000000000000000000000000000000000000010000001000010000000000000000000000000100001000000010010000000001000000000000000000001000100000000000000000001000001011000000000100100000000000000000001100110001110100011110100100011111000000000000000000000000000000000000000000000000000000000000000110000000000000000000110000000000000000000110000000000000000000100000000000000000000100000000000000000000
C8p_QI167__C51:0 TAG,871.7736,C8-pos,False,Glycerol triheptadecanoate,HMDB0031106,,,
HILp_QI8054__diacetylspermine,287.2447,HILIC-pos,False,"N1,N12-Diacetylspermine",HMDB0002172,C03413,NPDTUDWGJMBVEP-UHFFFAOYSA-N,11100000011100111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000000000000000000000000000100000000000110000011000000000000100000000100000000000000010110000000000000000000000000010000000000000000001000100000001000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000001100000000000000000001000000000000000000000000000001011000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C18n_TF7__furosemide,329.0004,C18-neg,True,Furosemide,HMDB0001933,C07017,ZZUFCTLCJUWOSV-UHFFFAOYSA-N,11000000011100110011100000000000010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000011100000000000000000000000001111000000110000100000100100000000000000000000000110000001110111000011101100000100110001100001100110110000010110000000000011001000010100010000000001010101100110100101100100001110000110000100000100000010000001001010010011100000000000010001000100010011001100011100110111011001000000011100010011000111010110001011011011110111011100001110111100110101000111001101101000000010001110110001111100111000111100110001101100100100010100011100000010000000100000000001000000000000010000000100000000010000000000010000000100000000001000000000000010000000100000000010000000000000000000000000000000000000000000000000
C8p_QI19__C22:0 LPE,538.3868,C8-pos,True,LysoPE(22:0/0:0),HMDB0011520,,,
C8p_QI115__NH4_C36:0 DAG,642.6031,C8-pos,True,,,,,
C8p_QI07__C18:0 LPC,524.371,C8-pos,False,LysoPC(18:0),HMDB0010384,C04230,,
HILn_QI82__lithocholate,375.291,HILIC-neg,False,Lithocholic acid,HMDB0000761,C03990,SMEROWZSTRWXGI-HVATVPOCSA-N,11110000011110000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000001100000110000011000000000000000000000000000000000000000000000001100000110000000000000000000000000000000001101000000000000000000000100000000000000000000000111100010100101000001000000000000010000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000001100010001100100011110000100011111000000000000000000000000000000000000000000000000000000000000000110000000000000000000110000000000000000000100000000000000000000100000000000000000000100000000000000000000
C8p_QI141__NH4_C48:3 TAG,818.7234,C8-pos,True,,,,,
C8p_QI151__C50:4 TAG,849.694,C8-pos,False,"TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z))",HMDB0005435,C00422,,
C8p_QI140__C48:3 TAG,823.6786,C8-pos,False,TG(16:1(9Z)/16:1(9Z)/16:1(9Z)),HMDB0005432,,,
HILp_QI1303__hypoxanthine,137.0463,HILIC-pos,False,Hypoxanthine,HMDB0000157,C00262,FDGQSTZJBFJUBT-UHFFFAOYSA-N,10000000011000111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000011000000000000000000000000001111000000000000100000000000000000000000000000000100000001000000000011001011000000100000001011011000000010110110010011001000000000000101010000000000100000111011100010111010000000000100000001000000000101101100101110001000010100000000000010101000110000001101010000101010001000000100000000100100000001000010000000100100000100000000101000000000010000000000010000000000000000010010000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI149__C50:5 TAG,847.6778,C8-pos,False,"TG(18:2(9Z,12Z)/14:0/18:3(9Z,12Z,15Z))",HMDB0010471,,,
C18n_QI14__indoleacetate,174.0552,C18-neg,True,Indoleacetic acid,HMDB0000197,C00954,SEOVTRFCIGRIMH-UHFFFAOYSA-N,11000000011100100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000001011000000000011111000000000000000000000001111000000000000100000000100000000000000000000000110000001000110000011001111000000100001111001100100011110010110010011001001000000000101010000000001100110100111101110100110000000000100000101000000000100000001100010000001000100000000010001101100110100001001110000110010010011000000010000010000011110010110000001001010110010001100001000110000000001000011001001101000000000001110010001100100000000111101111001101100111100011100111101000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000
HILp_QI15155__C18:1 LPC,522.3569,HILIC-pos,False,LysoPC(18:1(9Z)),HMDB0002815,C04230,,
HILp_QI352__serine,106.0504,HILIC-pos,False,L-Serine,HMDB0000187,C00065,MTCFGRXMJLQNBG-REOHCLBHSA-N,10000000010000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000111000011000000000000110000000000000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100001000000000100000000000000000000000000000000000100000000000000000000010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_QI19408__biliverdin,583.2569,HILIC-pos,True,Biliverdin,HMDB0001008,C00500,QBUVFDKTZJNUPP-BBROENKCSA-N,
C18n_TF3__dodecanedioate,229.1445,C18-neg,True,Dodecanedioic acid,HMDB0000623,C02678,TVIDDXQYHWJXFK-UHFFFAOYSA-N,11100000011100000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000000000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000001100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI51__erythronate,135.03,HILIC-neg,True,Erythronic acid,HMDB0000613,,,
