BIOCHEMICAL,pathway_sortorder,super_pathway,sub_pathway,comp_id,platform,chemical_id,ri,mass,pubchem,cas,kegg,hmdb,inchikey
atenolol,5431,Xenobiotics,Drug - Cardiovascular,38658,LC/MS Pos Early,100002726,2668.0,267.1703,2249,29122-68-7,D00235,HMDB01924,
ginkgolic acid C17:1,4592,Xenobiotics,Food Component/Plant,64206,LC/MS Polar,100021255,674.0,373.2748,5469634,111047-30-4,,HMDB38522,
indole,296,Amino Acid,Tryptophan Metabolism,33965,LC/MS Neg,100000264,4302.0,116.0506,798,120-72-9,C00463,HMDB00738,
diphenhydramine,5693,Xenobiotics,Drug - Respiratory,38669,LC/MS Pos Late,100002732,911.0,256.1696,3100,147-24-0,C06960,HMDB01927,
4-acetamidophenol,5183,Xenobiotics,"Drug - Analgesics, Anesthetics",12032,LC/MS Neg,1383,2173.7,150.0561,1983,103-90-2,C06804,HMDB01859,
4-hydroxybenzoate,4381,Xenobiotics,Benzoate Metabolism,21133,LC/MS Neg,100000862,820.0,137.0244,135,99-96-7,C00156,HMDB00500,
hexadecasphingosine (d16:1)*,3080,Lipid,Sphingosines,57428,LC/MS Pos Late,100015723,1289.0,272.2584,,,,,
tauroursodeoxycholate,3425,Lipid,Secondary Bile Acid Metabolism,39378,LC/MS Neg,100002912,5025.0,498.2895,9848818,14605-22-2,,HMDB00874,
noroxymorphone,5247,Xenobiotics,"Drug - Analgesics, Anesthetics",52362,LC/MS Pos Early,100006433,2618.0,288.123,5497189,33522-95-1,,HMDB61073,
glycocholate,3363,Lipid,Primary Bile Acid Metabolism,18476,LC/MS Neg,342,5163.0,464.3018,10140,475-31-0;863-57-0,C01921,HMDB00138,
methylsuccinate,379,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",15745,LC/MS Polar,2051,2800.0,131.035,10349,498-21-5,,HMDB01844,
anserine,84,Amino Acid,Histidine Metabolism,15747,LC/MS Pos Early,100000044,2924.0,241.1295,112072,10030-52-1,C01262,HMDB00194,
glycochenodeoxycholate,3370,Lipid,Primary Bile Acid Metabolism,32346,LC/MS Neg,1628,5236.1,448.3068,12544,16564-43-5,C05466,HMDB00637,
S-allylcysteine,4906,Xenobiotics,Food Component/Plant,43239,LC/MS Pos Early,100004509,2690.0,162.0583,98280,21593-77-1,,HMDB34323,
saccharopine,119,Amino Acid,Lysine Metabolism,1495,LC/MS Neg,392,640.0,275.1249,160556,997-68-2,C00449,HMDB00279,
phenylacetylglutamate,1144,Peptide,Acetylated Peptides,52925,LC/MS Polar,100009045,2325.0,264.0877,11579826,,,HMDB59772,
linoleoyl-linolenoyl-glycerol (18:2/18:3) [1]*,2847,Lipid,Diacylglycerol,54963,LC/MS Pos Late,100010926,2426.0,632.5249,,,,,
1-myristoylglycerol (14:0),2762,Lipid,Monoacylglycerol,35625,LC/MS Neg,100001618,6353.3,227.2016,79050,75685-84-6,C01885,HMDB11561,
"sphingomyelin (d18:1/20:1, d18:2/20:0)*",3035,Lipid,Sphingomyelins,48491,LC/MS Pos Late,100006292,2450.0,757.6218,,222403-67-0,,,
"1,3-dimethylurate",4485,Xenobiotics,Xanthine Metabolism,32391,LC/MS Neg,100001106,1671.4,195.0524,70346,944-73-0,,HMDB01857,
diltiazem,5433,Xenobiotics,Drug - Cardiovascular,42981,LC/MS Pos Late,100004015,888.0,415.1686,39186,33286-22-5,C06958,HMDB14487,
N-butyryl-phenylalanine,141,Amino Acid,Phenylalanine Metabolism,63406,LC/MS Neg,100021469,3645.0,234.1136,,,,,
4-hydroxyphenylacetate,156,Amino Acid,Phenylalanine Metabolism,541,LC/MS Neg,144,1361.0,151.0401,127,156-38-7,C00642,HMDB00020,
1-linoleoyl-GPG (18:2)*,2630,Lipid,Lysophospholipid,54885,LC/MS Neg,100009227,5516.0,507.2728,,,,,
"N,N,N-trimethyl-alanylproline betaine (TMAP)",487,Amino Acid,Urea cycle; Arginine and Proline Metabolism,62947,LC/MS Pos Early,100020217,2470.0,229.1547,,,,,
oleoyl-linoleoyl-glycerol (18:1/18:2) [2],2841,Lipid,Diacylglycerol,46799,LC/MS Pos Late,100002990,3223.0,636.5562,,104346-53-4,,HMDB07219,
paraxanthine,4480,Xenobiotics,Xanthine Metabolism,18254,LC/MS Neg,100000453,2279.0,179.0575,4687,611-59-6,C13747,HMDB01860,
"12,13-DiHOME",1970,Lipid,"Fatty Acid, Dihydroxy",38395,LC/MS Neg,62,5137.0,313.2384,10236635,263399-35-5,C14829,HMDB04705,
N-behenoyl-sphingadienine (d18:2/22:0)*,2947,Lipid,Ceramides,57372,LC/MS Pos Late,100015624,3911.0,620.5976,,,,,
succinylglutamine,65,Amino Acid,Glutamate Metabolism,55014,LC/MS Pos Early,100010853,815.0,247.0925,,,,,
beta-hydroxyisovalerate,338,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",12129,LC/MS Polar,1442,1149.8,117.0557,69362,625-08-1,,HMDB00754,
nomilin,4972,Xenobiotics,Food Component/Plant,48133,LC/MS Neg,100005951,4780.0,513.2130000000001,72320,1063-77-0,C08773,,
phenylpropionylglycine,4449,Xenobiotics,Benzoate Metabolism,35434,LC/MS Neg,100001591,2945.0,206.0823,152323,56613-60-6,,HMDB00860,
"2,3-dihydroxyisovalerate",4639,Xenobiotics,Food Component/Plant,38276,LC/MS Polar,100002417,1050.0,133.0506,677,1756-18-9,C04039,HMDB12141,
soyasaponin III,4922,Xenobiotics,Food Component/Plant,54925,LC/MS Neg,100004483,5176.0,795.4536,,55304-02-4,,,
lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*,3004,Lipid,Lactosylceramides (LCER),57370,LC/MS Pos Late,100015620,3778.0,972.7346,,,,,
loratadine,5696,Xenobiotics,Drug - Respiratory,38643,LC/MS Pos Late,100002800,1031.0,383.1521,3957,79794-75-5,D00364,HMDB05000,
laurate (12:0),1453,Lipid,Medium Chain Fatty Acid,1645,LC/MS Neg,181,5300.0,199.1704,3893,143-07-7,C02679,HMDB00638,
stearoyl ethanolamide,2092,Lipid,Endocannabinoid,38625,LC/MS Pos Late,100002254,1787.0,328.32099999999997,27902,111-57-9,,HMDB13078,
"1,2-dilinoleoyl-GPC (18:2/18:2)",2282,Lipid,Phosphatidylcholine (PC),52603,LC/MS Pos Late,100008903,2100.0,782.5694,5288075,998-06-1,,HMDB08138,
sulfate of piperine metabolite C16H19NO4 (4)*,4884,Xenobiotics,Food Component/Plant,62303,LC/MS Neg,100020508,3282.0,368.08099999999996,,,,,
O-acetylhomoserine,23,Amino Acid,"Glycine, Serine and Threonine Metabolism",31539,LC/MS Polar,100001129,1850.0,160.0615,439389,7540-67-2,C01077,,
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),2329,Lipid,Phosphatidylethanolamine (PE),19263,LC/MS Pos Late,1526,2600.0,718.5381,5283496,26662-94-2,,HMDB05320,
tauroursodeoxycholic acid sulfate (2),3455,Lipid,Secondary Bile Acid Metabolism,62785,LC/MS Neg,100020845,4603.0,288.6195,,,,,
hexadecasphinganine (d16:0)*,2920,Lipid,Sphingolipid Synthesis,57544,LC/MS Pos Late,100015865,1300.0,274.2741,656816,,C13915,,
cholesterol,3104,Lipid,Sterol,63,LC/MS Pos Late,266,2707.0,369.3516,11025495,57-88-5,C00187,HMDB00067,
palmitoleoylcarnitine (C16:1)*,1827,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",53223,LC/MS Pos Late,100009406,1357.0,398.3265,71464547,,,,
lignoceroyl ethanolamide (24:0)*,2118,Lipid,Endocannabinoid,57535,LC/MS Pos Late,100015855,2445.0,412.4149,,,,,
tetrahydrocortisol disulfate,3223,Lipid,Corticosteroids,62795,LC/MS Neg,100020850,3695.0,262.0698,,,,,
argininate*,490,Amino Acid,Urea cycle; Arginine and Proline Metabolism,57461,LC/MS Pos Early,100002769,2150.0,176.10299999999998,160437,157-07-3,,HMDB03148,
asparagine,40,Amino Acid,Alanine and Aspartate Metabolism,512,LC/MS Pos Early,917,1225.0,133.0608,6267,70-47-3,C00152,HMDB00168,
N-linoleoylglycine,1773,Lipid,Fatty Acid Metabolism (Acyl Glycine),32462,LC/MS Neg,1506,5510.0,336.2544,6433346,315636,,,
orotidine,4115,Nucleotide,"Pyrimidine Metabolism, Orotate containing",35172,LC/MS Polar,100001416,2250.0,287.0521,92751,314-50-1,,HMDB00788,
N-acetylglucosamine conjugate of C24H40O4 bile acid,6087,Partially Characterized Molecules,Partially Characterized Molecules,61869,LC/MS Neg,100020003,4637.0,594.3648,,,,,
coumaroylquinate (5),4729,Xenobiotics,Food Component/Plant,54930,LC/MS Neg,100010910,1934.0,337.0929,,,,,
palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]*,2821,Lipid,Diacylglycerol,52634,LC/MS Pos Late,100009055,3197.0,610.5405,,,,,
eriocitrin,4994,Xenobiotics,Food Component/Plant,48365,LC/MS Neg,100006015,3375.0,595.1668,,13463-28-0,,HMDB05811,
N-acetylglutamate,46,Amino Acid,Glutamate Metabolism,15720,LC/MS Pos Early,100000282,1050.0,190.071,70914,1430871,C00624,HMDB01138,
"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",3039,Lipid,Sphingomyelins,48493,LC/MS Pos Late,100006295,2775.0,785.6531,,,,HMDB12104,
1-stearoyl-2-oleoyl-GPS (18:0/18:1),2426,Lipid,Phosphatidylserine (PS),19265,LC/MS Pos Late,100000639,3000.0,790.5593,9547087,,,HMDB10163,
myristoleate (14:1n5),1477,Lipid,Long Chain Monounsaturated Fatty Acid,32418,LC/MS Neg,100001198,5346.9,225.18599999999998,5281119,544-64-9,C08322,HMDB02000,
phenol glucuronide,185,Amino Acid,Tyrosine Metabolism,52747,LC/MS Neg,100006679,1800.0,269.0667,87235,17685-05-1,,HMDB60014,
4-methylcatechol sulfate,4398,Xenobiotics,Benzoate Metabolism,46146,LC/MS Neg,100004111,2665.0,203.002,,,,,
10-undecenoate (11:1n1),1451,Lipid,Medium Chain Fatty Acid,32497,LC/MS Neg,100001197,5085.8,183.1391,14891,1333-28-4,C13910,HMDB33724,
N-acetyl-2-aminooctanoate*,1707,Lipid,"Fatty Acid, Amino",62059,LC/MS Neg,100020204,3943.0,200.1292,95555,,,HMDB59745,
THC carboxylic acid,5658,Xenobiotics,Drug - Psychoactive,61836,LC/MS Neg,100016048,5263.0,343.1915,107885,,,,
stigmasterol,3132,Lipid,Sterol,21183,LC/MS Pos Late,100000923,2875.0,395.3672,5280794,83-48-7,C05442,HMDB00937,
solifenacin,5722,Xenobiotics,Drug - Other,53001,LC/MS Pos Late,100008973,1042.0,363.2067,9885319,180468-39-7,,,
N-acetylasparagine,41,Amino Acid,Alanine and Aspartate Metabolism,33942,LC/MS Pos Early,100001257,785.0,175.0713,99715,4033-40-3,,HMDB06028,
(15:0)-anacardic acid,4588,Xenobiotics,Food Component/Plant,40719,LC/MS Neg,100003600,5895.0,347.2592,167551,16611-84-0,C10759,,
"1,6-anhydroglucose",4636,Xenobiotics,Food Component/Plant,21049,LC/MS Neg,100000939,919.7,161.0455,2724705,498-07-7,,HMDB00640,
N6-succinyladenosine,4080,Nucleotide,"Purine Metabolism, Adenine containing",48130,LC/MS Neg,100001664,940.0,382.1004,165243,4542-23-8,,HMDB00912,
"2R,3R-dihydroxybutyrate",1974,Lipid,"Fatty Acid, Dihydroxy",63109,LC/MS Polar,100002367,1543.0,119.035,13120901,759-06-8,,HMDB00498,
sertraline,5623,Xenobiotics,Drug - Psychoactive,39757,LC/MS Pos Late,100002804,1070.0,306.0811,68617,79559-97-0,C07246,HMDB05010,
glycocholate glucuronide (1),3384,Lipid,Primary Bile Acid Metabolism,52977,LC/MS Neg,100009259,4533.0,640.3339,,,,,
taurohyodeoxycholic acid,3436,Lipid,Secondary Bile Acid Metabolism,43588,LC/MS Neg,100003869,5073.0,498.2895,119046,38411-85-7,,,
1-palmitoylglycerol (16:0),2765,Lipid,Monoacylglycerol,21127,LC/MS Neg,100000827,6550.0,255.2329,14900,542-44-9,,HMDB31074,
3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP),1658,Lipid,"Fatty Acid, Dicarboxylate",61871,LC/MS Neg,100020004,4000.0,267.1238,194501,,,,
"sphingomyelin (d18:2/16:0, d18:1/16:1)*",3030,Lipid,Sphingomyelins,42459,LC/MS Pos Late,100004329,2002.0,701.5592,,,,,
1-linoleoyl-GPE (18:2)*,2588,Lipid,Lysophospholipid,36600,LC/MS Pos Late,100001570,1482.0,478.2928,52925130,,,HMDB11507,
propionylcarnitine (C3),1722,Lipid,Fatty Acid Metabolism (also BCAA Metabolism),32452,LC/MS Pos Early,100001162,2590.0,218.1387,107738,17298-37-2,C03017,HMDB00824,
3-S-cysteinyl-2-methylpropanoate*,5964,Xenobiotics,Chemical,62310,LC/MS Pos Early,100020488,2344.0,208.0638,,,,HMDB30411,
ranitidine N-oxide*,5514,Xenobiotics,Drug - Gastrointestinal,62485,LC/MS Pos Early,100020810,2926.0,331.1435,3033888,,,,
4-acetylcatechol sulfate (1),4678,Xenobiotics,Food Component/Plant,62798,LC/MS Neg,100020853,1774.0,230.9969,,,,,
biocytin,4282,Cofactors and Vitamins,Biotin Metabolism,42971,LC/MS Pos Early,100004272,2625.0,373.1904,7098660;83814,576-19-2,,,
quinine,5317,Xenobiotics,Drug - Antibiotic,39767,LC/MS Pos Early,100002968,3378.0,325.1911,2728270,130-95-0,,,
1-methylguanidine,530,Amino Acid,Guanidino and Acetamido Metabolism,48114,LC/MS Pos Early,100000715,2149.0,74.0713,10111,22661-87-6,C02294,HMDB01522,
phosphate,1420,Energy,Oxidative Phosphorylation,42109,LC/MS Pos Early,461,576.0,98.9842,1061,7664-38-2,C00009,HMDB01429,
ursocholate,3453,Lipid,Secondary Bile Acid Metabolism,57573,LC/MS Neg,100002913,4648.0,407.2803,,2955-27-3,,,
galactitol (dulcitol),1318,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",1117,LC/MS Polar,1003,2360.0,181.0718,11850,608-66-2,C01697,HMDB00107,
"bilirubin degradation product, C16H18N2O5 (3)",6117,Partially Characterized Molecules,Partially Characterized Molecules,64414,LC/MS Neg,100022014,3354.0,317.1143,,,,,
N-alpha-acetylornithine,477,Amino Acid,Urea cycle; Arginine and Proline Metabolism,32984,LC/MS Pos Early,100000285,2000.0,175.1077,439232,1572591,C00437,HMDB03357,
valerylphenylalanine,157,Amino Acid,Phenylalanine Metabolism,44577,LC/MS Neg,100004533,4176.0,248.1292,13890536,,,,
4-ethylphenyl sulfate,4412,Xenobiotics,Benzoate Metabolism,36099,LC/MS Neg,100001756,3580.0,201.0227,20822574,123-07-9,C13637,HMDB62551,
N-propionylalanine,34,Amino Acid,Alanine and Aspartate Metabolism,42993,LC/MS Neg,100004113,1335.0,144.0666,321155,98632-97-4,,,
Flavone derivative C26H28O14 (3)*,6105,Partially Characterized Molecules,Partially Characterized Molecules,64287,LC/MS Neg,100021926,2289.0,563.1406,,,,,
resveratrol sulfate (1)*,5047,Xenobiotics,Food Component/Plant,62108,LC/MS Neg,100020245,3250.0,307.0282,,,,,
taurohyocholate*,3434,Lipid,Secondary Bile Acid Metabolism,42603,LC/MS Neg,100004084,5000.0,514.2844,11954195,,,,
cis-urocanate,77,Amino Acid,Histidine Metabolism,40410,LC/MS Polar,100003425,1195.0,137.0357,1549103,7699-35-6,,HMDB34174,
hydroxybupropion,5622,Xenobiotics,Drug - Psychoactive,32882,LC/MS Pos Early,100001309,3479.0,256.1099,446,,,HMDB12235,
ritonavir,5354,Xenobiotics,Drug - Antiviral,63278,LC/MS Pos Late,100020929,1252.0,721.32,392622,155213-67-5,D00427,HMDB14646,
diglycerol,5807,Xenobiotics,Chemical,40700,LC/MS Pos Early,100003700,818.0,167.0914,42953,627-82-7,,,
behenoylcarnitine (C22)*,1812,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",57514,LC/MS Pos Late,100015832,1561.0,484.436,,,,,
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,2724,Lipid,Plasmalogen,52748,LC/MS Pos Late,100009225,2750.0,728.5589,,,,HMDB11376,
decanoylcarnitine (C10),1804,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)",33941,LC/MS Pos Late,100001251,1130.0,316.2482,10245190,1492-27-9,,HMDB00651,
lactosyl-N-palmitoyl-sphingosine (d18:1/16:0),3000,Lipid,Lactosylceramides (LCER),53010,LC/MS Pos Late,100009030,2527.0,862.625,,4201-62-1,,,
caprylate (8:0),1442,Lipid,Medium Chain Fatty Acid,32492,LC/MS Neg,932,4362.0,143.1078,379,124-07-2,C06423,HMDB00482,
(S)-a-amino-omega-caprolactam,5062,Xenobiotics,Food Component/Plant,63339,LC/MS Pos Early,100021329,2378.0,129.1022,439823,21568-87-6,C05328,,
8-methoxykynurenate,268,Amino Acid,Tryptophan Metabolism,62955,LC/MS Neg,100020360,2863.0,218.0459,76230,2929-14-8,C05830,HMDB60426,
N-acetylmethionine,403,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",1589,LC/MS Neg,1083,1787.0,190.0543,448580,65-82-7,C02712,HMDB11745,
pheophorbide A,4857,Xenobiotics,Food Component/Plant,35879,LC/MS Pos Late,100001689,1562.0,593.2759,5323510,15664-29-6,C18021,,
thymine,4180,Nucleotide,"Pyrimidine Metabolism, Thymine containing",604,LC/MS Neg,882,1654.0,125.0357,1135,65-71-4,C00178,HMDB00262,
venlafaxine,5624,Xenobiotics,Drug - Psychoactive,38623,LC/MS Pos Late,100002807,848.0,278.2115,5656,93413-69-5,C07187,HMDB05016,
2-iminopiperidine,5970,Xenobiotics,Chemical,63043,LC/MS Pos Early,100021018,2591.0,99.0917,85237,16011-96-4,,,
3-hydroxystearate,1929,Lipid,"Fatty Acid, Monohydroxy",52938,LC/MS Neg,100008933,5674.0,299.2592,5282907,45261-96-9,,,
citrulline,460,Amino Acid,Urea cycle; Arginine and Proline Metabolism,2132,LC/MS Pos Early,391,1520.0,176.10299999999998,9750,372-75-8,C00327,HMDB00904,
2'-deoxycytidine,4166,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",15949,LC/MS Pos Early,100000125,2193.0,228.0979,13711,951-77-9,C00881,HMDB00014,
(12 or 13)-methylmyristate (a15:0 or i15:0),1588,Lipid,"Fatty Acid, Branched",38293,LC/MS Neg,100002344,5499.0,241.2173,151014,2485-71-4,,,
metronidazole,5301,Xenobiotics,Drug - Antibiotic,57642,LC/MS Neg,100015878,2339.0,170.0571,4173,73334-05-1,D00409,HMDB15052,
narirutin,4962,Xenobiotics,Food Component/Plant,48134,LC/MS Neg,100005944,3700.0,579.1719,442431,14259-46-2,C09793,,
1-stearoyl-GPC (18:0),2527,Lipid,Lysophospholipid,33961,LC/MS Pos Late,100001271,1606.0,524.3711,497299,19420-57-6,,HMDB10384,
"1,2-dilinolenoyl-digalactosylglycerol (18:3/18:3)",2898,Lipid,Galactosyl Glycerolipids,54892,LC/MS Pos Late,100009392,1941.0,954.6149,,,,,
"diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*",2803,Lipid,Diacylglycerol,54966,LC/MS Pos Late,100010940,2733.0,608.5249,,,,,
argininosuccinate,452,Amino Acid,Urea cycle; Arginine and Proline Metabolism,15497,LC/MS Pos Early,232,2745.0,291.1299,16950,156637-58-0,C03406,HMDB00052,
N-acetyltaurine,441,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",48187,LC/MS Neg,100005466,800.0,166.018,159864,,,,
3-hydroxyisonicotinic acid,5581,Xenobiotics,Drug - Neurological,63163,LC/MS Polar,100021281,891.0,138.0197,459503,10128-71-9,,,
3-(N-acetyl-L-cystein-S-yl) acetaminophen,5184,Xenobiotics,"Drug - Analgesics, Anesthetics",45721,LC/MS Neg,2048,2094.0,311.0707,83967,52372-86-8,,,
cyclobenzaprine,5598,Xenobiotics,Drug - Neurological,64132,LC/MS Pos Late,100020914,998.0,276.1747,2895,303-53-7,"C06931,D07758",HMDB15060,
"N1,N12-diacetylspermine",522,Amino Acid,Polyamine Metabolism,52987,LC/MS Pos Early,100002132,3105.0,287.2442,132680,61345-83-3,C03413,HMDB02172,
3-hydroxyoctanoate,1920,Lipid,"Fatty Acid, Monohydroxy",22001,LC/MS Neg,100000773,3446.0,159.1027,26613,88930-08-9,,HMDB01954,
4-hydroxycyclohexylcarboxylic acid,4664,Xenobiotics,Food Component/Plant,43516,LC/MS Pos Early,100004250,2005.0,127.0754,151138,17419-81-7,C04404,HMDB01988,
"cytidine 2',3'-cyclic monophosphate",4155,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",37465,LC/MS Pos Early,73,769.0,306.0486,417654,15718-51-1,C02354,HMDB11691,
linoleoylcarnitine (C18:2)*,1833,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)",46223,LC/MS Pos Late,100003151,1430.0,424.3421,6450015,36816-10-1,,HMDB06469,
dipicolinate,4641,Xenobiotics,Food Component/Plant,15135,LC/MS Pos Early,100000146,1695.0,168.0291,10367,499-83-2,,,
histidine,68,Amino Acid,Histidine Metabolism,59,LC/MS Neg,355,755.9,154.0622,6274,5934-29-2,C00135,HMDB00177,
ciliatine (2-aminoethylphosphonate),4714,Xenobiotics,Food Component/Plant,15125,LC/MS Pos Early,100000086,736.0,126.0315,339,2041-14-7,C03557,HMDB11747,
hydantoin-5-propionate,75,Amino Acid,Histidine Metabolism,40473,LC/MS Polar,100002514,2080.0,171.0411,782,5624-26-0,C05565,HMDB01212,
2-methylbutyrylcarnitine (C5),369,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",45095,LC/MS Pos Early,100001509,3050.0,246.17,6426901,31023-25-3,,HMDB00378,
4-methylhexanoylglycine,1756,Lipid,Fatty Acid Metabolism (Acyl Glycine),62736,LC/MS Neg,100020632,3550.0,186.1136,,,,,
linoleoyl-linoleoyl-glycerol (18:2/18:2) [2]*,2846,Lipid,Diacylglycerol,54969,LC/MS Pos Late,100010942,2790.0,634.5405,,,,,
carotene diol (3),4329,Cofactors and Vitamins,Vitamin A Metabolism,57637,LC/MS Pos Late,100015968,1948.0,568.4279,,,,,
"9,10-DiHOME",1971,Lipid,"Fatty Acid, Dihydroxy",38399,LC/MS Neg,179,5180.0,313.2384,9966640,263399-34-4,C14828,HMDB04704,
eicosenoate (20:1n9 or 1n11),1494,Lipid,Long Chain Monounsaturated Fatty Acid,33587,LC/MS Neg,100001335,5950.0,309.2799,5282768,,C16526,HMDB02231,
25-hydroxycholesterol sulfate,3113,Lipid,Sterol,64194,LC/MS Polar,100021568,700.0,481.2993,11705729,884905-07-1,,,
SQDG (18:3/16:0),2861,Lipid,Diacylglycerol,57804,LC/MS Polar,100015635,742.0,815.4985,6450969,123036-44-2,,,
vanillic acid glycine,5069,Xenobiotics,Food Component/Plant,63853,LC/MS Neg,100021363,1682.0,224.0564,3083688,,,HMDB60026,
"5alpha-androstan-3beta,17beta-diol monosulfate (2)",3295,Lipid,Androgenic Steroids,37192,LC/MS Neg,100002024,4685.0,371.1898,,,,,
sphingadienine,2916,Lipid,Sphingolipid Synthesis,57426,LC/MS Pos Late,100015643,1350.0,298.2741,6449795,25696-03-1,,,
hesperidin,4953,Xenobiotics,Food Component/Plant,21300,LC/MS Neg,100000838,3867.0,609.1825,10621,520-26-3,C09755,HMDB03265,
estriol 3-sulfate,3358,Lipid,Estrogenic Steroids,21294,LC/MS Neg,100000701,3380.0,367.1221,66415,50-27-1,C05141,HMDB00153,
leucylalanine,829,Peptide,Dipeptide,40010,LC/MS Pos Early,100003179,2801.0,203.139,259321,7298-84-2,,HMDB28922,
N-formylanthranilic acid,263,Amino Acid,Tryptophan Metabolism,43549,LC/MS Neg,100004561,2150.0,164.0353,101399,3342-77-6,C05653,HMDB04089,
myristoleoylcarnitine (C14:1)*,1826,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",48182,LC/MS Pos Late,100006051,1316.0,370.2947,90659872,889848-55-9,,,
"androstenediol (3beta,17beta) disulfate (2)",3274,Lipid,Androgenic Steroids,37203,LC/MS Neg,100001994,4065.0,224.0624,,,,,
hexanoylcarnitine (C6),1790,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)",32328,LC/MS Pos Early,100000781,3358.0,260.1856,6426853,6920-35-0,,HMDB00705,
vanillic alcohol sulfate,222,Amino Acid,Tyrosine Metabolism,48733,LC/MS Neg,100006125,1808.0,233.0125,,754920-02-0,,,
glutaminylleucine,757,Peptide,Dipeptide,42994,LC/MS Pos Early,100003160,3009.0,260.1605,18218208,,,,
lansoprazole,5519,Xenobiotics,Drug - Gastrointestinal,43420,LC/MS Pos Early,100004289,3503.0,370.0832,3883,103577-45-3,D00355,HMDB05008,
pyroglutamine*,53,Amino Acid,Glutamate Metabolism,46225,LC/MS Pos Early,100001540,1900.0,129.0659,,2353-44-8,,,
ectoine,5884,Xenobiotics,Chemical,35651,LC/MS Pos Early,100001635,1980.0,143.0815,126041,96702-03-3,C06231,,
glutamine,44,Amino Acid,Glutamate Metabolism,53,LC/MS Pos Early,563,1291.0,147.0764,5961,56-85-9,C00064,HMDB00641,
isocaproylglycine,1748,Lipid,Fatty Acid Metabolism (Acyl Glycine),61789,LC/MS Neg,100019816,2820.0,172.0979,28777652,,,,
N-succinyl-leucine,315,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",63413,LC/MS Neg,100021476,1371.0,230.1034,3467259,,,,
N-acetylmethionine sulfoxide,409,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",45428,LC/MS Pos Early,100005463,880.0,208.0638,193368,108646-71-5,,,
myristoylcarnitine (C14),1806,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",33952,LC/MS Pos Late,100001270,1350.0,372.3108,6426854,18822-89-4,,HMDB05066,
palmitoylcarnitine (C16),1808,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",44681,LC/MS Pos Late,100000776,1425.0,400.3421,461,6865-14-1,C02990,HMDB00222,
4-aminophenol sulfate (1),5196,Xenobiotics,"Drug - Analgesics, Anesthetics",54808,LC/MS Neg,100010870,826.0,188.0023,,,,,
glucuronide of C10H18O2 (1)*,6038,Partially Characterized Molecules,Partially Characterized Molecules,61881,LC/MS Neg,100019990,2728.0,345.1555,,,,,
1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,2271,Lipid,Phosphatidylcholine (PC),52453,LC/MS Pos Late,100008981,2250.0,784.5851,,,,,
glutamate,43,Amino Acid,Glutamate Metabolism,57,LC/MS Pos Early,561,1500.0,148.0604,611,56-86-0,C00025,HMDB00148,
"guanosine-2',3'-cyclic monophosphate",4086,Nucleotide,"Purine Metabolism, Guanine containing",37139,LC/MS Neg,74,1480.0,344.0402,92823,15718-49-7,C06194,HMDB11629,
quinolinate,4200,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,1899,LC/MS Polar,182,3000.0,166.0146,1066,89-00-9,C03722,HMDB00232,
sulfate of piperine metabolite C15H17NO3 (1)*,4874,Xenobiotics,Food Component/Plant,62304,LC/MS Neg,100020498,3728.0,338.0704,,,,,
"androstenediol (3beta,17beta) disulfate (1)",3273,Lipid,Androgenic Steroids,37202,LC/MS Neg,100001992,3740.0,224.0618,87120982,,C04295,HMDB03818,
tauroursodeoxycholic acid sulfate (1),3426,Lipid,Secondary Bile Acid Metabolism,62784,LC/MS Neg,100020844,4325.0,288.6195,,,,,
deoxycholic acid 12-sulfate*,3390,Lipid,Secondary Bile Acid Metabolism,63688,LC/MS Neg,100021712,4580.0,235.1175,,,,,
